precision,numTargets,dim,reps,err_naive,err_kahan,ms_naive,ms_kahan
fp1,2,4,125000,5.772414e-01,5.772414e-01,8.144000e-06,1.000000e-05
fp1,4,16,7812,5.412803e+02,3.793770e+02,1.137993e-04,2.629288e-04
fp1,6,64,488,6.479917e+04,4.669267e+04,2.247951e-03,7.772541e-03
fp1,8,256,30,1.572572e+05,4.900399e+04,3.790000e-02,1.410667e-01
fp1,10,1024,1,5.970935e+05,1.327381e+05,6.660000e-01,2.438000e+00
fp1,12,4096,1,2.296930e+06,2.200285e+05,1.123600e+01,3.754900e+01
fp1,13,8192,1,4.791550e+06,2.534412e+05,4.654500e+01,1.447900e+02
fp1,14,16384,1,9.542947e+06,3.213748e+05,1.843500e+02,6.110560e+02
fp2,2,4,125000,5.681711e-10,5.681711e-10,6.760000e-06,9.752000e-06
fp2,4,16,7812,1.122881e-06,1.122881e-06,1.017665e-04,1.899642e-04
fp2,6,64,488,1.455275e-04,8.359876e-05,1.639344e-03,5.977459e-03
fp2,8,256,30,3.492193e-04,5.282792e-05,3.206667e-02,1.330667e-01
fp2,10,1024,1,1.960401e-03,1.953018e-04,6.750000e-01,2.257000e+00
fp2,12,4096,1,1.055728e-02,3.008565e-04,1.093100e+01,3.787300e+01
fp2,13,8192,1,2.110199e-02,4.374301e-04,4.323500e+01,1.475820e+02
fp2,14,16384,1,3.292284e-02,6.538236e-04,1.751520e+02,6.084400e+02
fp4,2,4,125000,5.681711e-10,5.681711e-10,7.256000e-06,9.960000e-06
fp4,4,16,7812,1.122881e-06,1.122881e-06,1.086790e-04,1.980287e-04
fp4,6,64,488,1.455275e-04,8.359876e-05,1.657787e-03,6.247951e-03
fp4,8,256,30,3.492193e-04,5.282792e-05,3.270000e-02,1.344667e-01
fp4,10,1024,1,1.960401e-03,1.953018e-04,6.720000e-01,2.146000e+00
fp4,12,4096,1,1.055728e-02,3.008565e-04,1.061000e+01,3.800100e+01
fp4,13,8192,1,2.110199e-02,4.374301e-04,4.505800e+01,1.536850e+02
fp4,14,16384,1,3.292284e-02,6.538236e-04,1.731930e+02,6.080500e+02
